التصنيف,النوع,العملية,الموقع,المساحة,السعر,التفاصيل,رقم التواصل
"سكني","فيلا","للبيع","المنطقة 13","650 متر","سعر ممتاز","مبني دور اول على شقتين وعمدان الثاني، بحري على خدمات مباشر، غير مجروحة","01226352436"
"زراعي","مزرعة / أرض","للبيع","غير محدد","20 فدان","2 مليون للفدان","مياة 1200 جزء، محول 200 كيلو، استراحة، محطة فرز، مشروع إنتاج حيواني 500 رأس","غير محدد"
"صناعي","مصنع بلاستيك","للإيجار","المنطقة الصناعية السادسة","750 متر","50 ألف شهرياً","متاجر حالياً بـ 50 ألف","غير محدد"
"سكني","منزل","للبيع","مدينة السادات منطقة 15","276 متر","غير محدد","بدروم ودورين تشطيب ممتاز، كامل العدادات","غير محدد"
"صناعي","مصنع بلاستيك","للبيع","المنطقة الصناعية الرابعة","1530 متر","غير محدد","كهرباء 125 ك، رخصة قديمة","01013700822"
"سكني","قطعة أرض / مبنى","للبيع","النخيل 6 رقم 458","غير محدد","غير محدد","خالصة أقساط، مبني دور وعمدان الثاني","01080298790"
"زراعي","أرض زراعية","للبيع","الصحراوي قبل مدخل بني سلامة","33 فدان","850 ألف للفدان + 140 ألف للمحافظة","نمرة 2 من الصحراوي، بطاقة حيازة","01201429812"
"زراعي / صناعي","مزرعة دواجن","للبيع","غير محدد","6 فدان و 3 قيراط","غير محدد","مسورة، رخصة دواجن، مياه 400 جزء، كهرباء، استراحة","غير محدد"
"صناعي","أرض مصنع غذائي","للبيع","المطورين 6","9520 متر","أوفر 3.2 مليون للمتر","مدفوع قسط واحد","01055259098"
"صناعي","أرض مصنع هندسي","للبيع","المطورين 6","2100 متر","سعر ممتاز","خالصة، أرض فاضية","01055259098"
"زراعي","أرض زراعية","للبيع / مشاركة","غير محدد","6000 فدان","400-500 ألف للفدان","مقسمة للبيع والمشاركة بنسبة 65% للمطور","غير محدد"
"سكني","قطعة أرض","للبيع","الروضة رقم 1784","500 متر","3 مليون","خالصة أقساط","01003876383"
"زراعي","مزرعة","للبيع","العامرية","132 فدان","غير محدد","ري بحاري، طريق أسفلت، تربة طينية، استراحة، زرايب","غير محدد"
"زراعي","أرض زراعية","للبيع","الامام مالك","50 فدان","1.8 مليون للفدان","ملك نهائي، ري بحاري، حصه كهرباء 100 كيلو، متربعة","غير محدد"
"زراعي","أرض زراعية","للبيع","بنجر السكر قرية أبو زهرة","50 فدان","600 ألف","عقد نهائي، ري بحاري، 2 بير طاقة شمسية","غير محدد"
"زراعي","أرض زراعية","للبيع","طريق المطار العجيزي","5 فدان","2.8 مليون","ملك نهائي، بير طاقة شمسية، مياه 300، تربة حمراء","غير محدد"
"زراعي","أرض زراعية","للبيع","الطريق المزدوج","7.5 فدان","1.1 مليون","بير 30 حصان، مياه 280، طاقة شمسية","غير محدد"
"سكني","بيت","للبيع","طريق المطار العجيزي","170 متر","900 ألف","دورين خرسانات على الطريق مباشر","غير محدد"
"زراعي","أرض زراعية","للبيع","الحزام الاخضر","9.5 فدان","1.7 مليون للفدان","ملك نهائي، بير 40 حصان، متشجرة برتقال صيفي عملاق","01556276370"
"زراعي","أرض زراعية","للإيجار","غير محدد","100 فدان","55 ألف إيجار الفدان","غير محدد","01280058570"
"زراعي","أرض زراعية","للبيع","سفنكس على الصحراوي مباشر","200 فدان و 10 فدان","غير محدد","متوفر مساحتين","01001363438"
"زراعي","أرض زراعية","للبيع","أسفلت العدالة","50 فدان","100 ألف للفدان","20 فدان زيتون، موتور 100 حصان، تسعير مباشر","01096614046"
"زراعي","أرض زراعية","للبيع","طريق أسفلت حيوى","165 فدان","غير محدد","رملية حمراء، ملك نهائي، منزل، كهرباء، 3 آبار","01122111048 / 01011389907"
"صناعي","مصنع كيماوي","للبيع","المنطقة الصناعية السابعة","620 متر","سعر ممتاز","جمالون ومبنى إداري 3 أدوار، كهرباء 55، على الإقليمي","01055259098"
"صناعي","مصنع كيماوي","للبيع","المنطقة السادسة الصناعية","750 متر","سعر ممتاز","جمالون وإدارة، كهرباء 100، متاجر بـ 100 ألف شهرياً، رخصة","01055259098"
"سكني","بيت","للبيع","زتون 1","غير محدد","غير محدد","بدروم و 3 أدوار","01000816887"
"سكني","بيت","للبيع","زتون 1","غير محدد","غير محدد","بدروم ودور على السقف","01000816887"
"سكني","بيت","للبيع","المنطقة 24","276 متر","غير محدد","بدروم ودور وعمدان الثاني، بجوار الخدمات والفاصل مع 27","غير محدد"
"سكني","بيت","للبيع","المنطقة 20","غير محدد","غير محدد","4 أدوار متشطبين، أمام خدمات ومدرسة وجامع","غير محدد"
"سكني","بيت","للبيع","المنطقة 20","غير محدد","غير محدد","4 أدوار تشطيب هاي لوكس، ناصية بحري","غير محدد"
"سكني","بيت","للبيع","المنطقة 20","غير محدد","غير محدد","4 أدوار تشطيب سوبر لوكس، ناصية صريحة، كامل المرافق","غير محدد"
